Location,SubReg,Country,lat,long,NotStart6,Pop6,NotECCE3_5, Pop3_5,NotSch3_6,PerNot3_6,OutSch6_12 ,Pop6_12,OutSch13_17, Pop13_17,SchLeave6_17, PerSchLv6_17 ,NEET18_30N,NEET18_30P ,NEET15_24N ,NEET15_24P,Subsistence Economy,GridElec, OpenDefec,HH_Num,TotPop,MobOwnTot, HH_TV,HlthInsur
Oyam,Lango,Uganda,2.214069,32.3703233,8164,13303,33895,43608,42059,73.9,27085,90025,24705,61784,51790,34.1,72734,62.2,57291,52.7,56340,2979,5829,110658,477464,9769,6413,3984
Pader,Acholi,Uganda,2.93291,32.86486,3825,7228,16523,22323,20348,68.9,13066,47334,10261,31601,23327,29.6,35006,60.6,26169,47.9,30127,2005,10949,52627,240159,6903,2751,1274
Pakwach,Westnile,Uganda,2.5067,31.40036,3242,6455,16451,19780,19693,75.1,12569,41479,10468,26773,23037,33.8,32448,66.9,25960,56.2,24811,664,5946,42909,206961,4461,2192,772
Pallisa,Bukedi,Uganda,1.1676921,33.7097019,5750,10214,23135,33268,28885,66.4,16893,70863,12334,45240,29227,25.2,45746,63.1,33629,46.6,31923,2409,2218,60882,334697,6650,3602,2824
Rakai,Buganda,Uganda,-0.7079013,31.4044819,7187,9958,17010,31188,24197,58.8,18970,68488,15022,38816,33992,31.7,22220,44,19662,38,28143,4705,3111,73169,346885,7310,13687,843
Rubanda,Kigezi,Uganda,-1.2121583,29.8626265,3919,7605,12270,22490,16189,53.8,11476,52208,10567,31317,22043,26.4,17805,37.7,14215,31.3,24306,2375,678,63754,249454,4665,3542,1574
Rubirizi,Ankole,Uganda,-0.2768867,30.1088372,2875,4085,4899,12440,7774,47,5254,28362,6749,22476,12003,23.6,15304,43,11921,33.9,10572,7477,670,36117,168211,7181,8232,681
Rukiga,Kigezi,Uganda,-1.113744,30.0329438,1583,2959,3748,8960,5331,44.7,4013,20799,4925,15755,8938,24.5,11274,43.2,8288,33.1,10561,3324,311,29495,132355,4754,3762,4423
Rukungiri,Kigezi,Uganda,-0.7911133,29.9248663,5543,9209,8764,28601,14307,37.8,8627,66362,12224,49682,20851,18,26764,35.9,19942,26.6,26015,14083,1042,87193,376110,17993,16297,19713
Rwampara,Ankole,Uganda,-0.75558,30.46744,2564,3922,5425,12197,7989,49.6,7161,28091,6756,19377,13917,29.3,13593,45,10914,37.2,11964,3931,569,36273,162967,5137,6795,544
Serere,Teso,Uganda,1.5004066,33.5469939,5903,11054,24646,36028,30549,64.9,16682,74828,13651,47817,30333,24.7,49249,60.8,37103,46.7,34574,1160,6424,70581,358123,7025,3178,2437
Sheema,Ankole,Uganda,-0.62728,30.36178,3484,5870,5190,18043,8674,36.3,4925,40923,7357,31752,12282,16.9,19940,37.6,14166,27.7,15534,19069,423,58374,252275,16026,17744,1328
Sironko,Bugisu,Uganda,1.17114,34.30984,4296,8727,16291,26677,20587,58.1,11118,55617,8953,35779,20071,22,30914,52.2,21934,39.1,30864,6728,4105,71711,298363,11182,7357,805
Soroti,Teso,Uganda,1.8704,33.54081,4336,8112,16301,26663,20637,59.3,9513,54426,9003,35882,18516,20.5,35411,57.3,25857,43.1,22926,534,5840,48600,266189,5368,1837,1180
Soroti City,Teso,Uganda,1.7209025,33.61160829,1429,3319,4639,10553,6068,43.7,3398,22002,3839,16223,7237,18.9,18007,48.3,12444,39.1,6383,13381,1420,34963,134199,16280,9240,1768
Ssembabule,Buganda,Uganda,-0.0894994,31.4573823,6171,8674,14480,27934,20651,56.4,16026,57597,14803,35475,30829,33.1,27969,48.3,23051,42.1,21099,9846,1763,70473,305971,8978,16980,902
Terego,Westnile,Uganda,3.17195,31.12933,5303,9964,19390,29985,24693,61.8,14471,65287,12513,47878,26984,23.8,41224,54.4,31452,39.5,35807,230,7301,64876,323253,7829,1507,3390
Tororo,Bukedi,Uganda,0.6917855,34.1790712,9472,17834,35889,55983,45361,61.5,27095,121249,22497,77814,49592,24.9,83487,63,63003,48.7,72804,21669,15824,137489,609939,19453,16212,2310
Wakiso,Buganda,Uganda,0.48377,32.41478,35820,74050,79418,233543,115238,37.5,76135,473009,89973,324596,166108,20.8,321946,37.9,226548,34.3,33795,762386,3814,918040,3411177,656741,575638,92858
Yumbe,Westnile,Uganda,3.4674131,31.2458678,25436,38944,89332,107150,114768,78.6,117777,236830,67219,135228,184996,49.7,140377,64.1,118794,54.8,90579,1242,9470,153061,945100,17527,4278,11261
Zombo,Westnile,Uganda,2.5135255,30.9089608,4895,9689,25237,30505,30132,75,20793,66279,17315,40185,38108,35.8,38345,59.3,32614,51.4,43212,2505,9811,71491,312621,6033,3620,2193
